time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,9,2,major,D0,major,G0,4,2.0
4/4,9,2,major,D0,major,A0,4,2.0
4/4,9,2,major,D0,major,F#,4,4.0
4/4,10,2,major,G0,major,rest,0,2.0
4/4,10,2,major,G0,major,G0,4,2.0
4/4,10,2,major,G0,major,G0,4,2.0
4/4,10,2,major,G0,major,G0,4,2.0
4/4,10,2,major,G0,major,G0,4,6.0
4/4,10,2,major,G0,major,A0,4,2.0
4/4,11,2,major,D0,major,A0,4,2.0
4/4,11,2,major,D0,major,F#,4,2.0
4/4,11,2,major,D0,major,F#,4,2.0
4/4,11,2,major,D0,major,G0,4,2.0
4/4,11,2,major,D0,major,G0,4,2.0
4/4,11,2,major,D0,major,F#,4,2.0
4/4,11,2,major,D0,major,F#,4,4.0
4/4,12,2,major,D0,major,F#,4,16.0
4/4,13,2,major,F#,minor,rest,0,4.0
4/4,13,2,major,F#,minor,F#,4,2.0
4/4,13,2,major,F#,minor,A0,4,2.0
4/4,13,2,major,F#,minor,F#,4,4.0
4/4,13,2,major,F#,minor,A0,4,4.0
4/4,14,2,major,B0,minor-seventh,A0,4,6.0
4/4,14,2,major,B0,minor-seventh,D0,4,2.0
4/4,14,2,major,B0,minor-seventh,D0,4,8.0
4/4,15,2,major,E0,major,rest,0,4.0
4/4,15,2,major,E0,major,A0,4,2.0
4/4,15,2,major,E0,major,B0,4,2.0
4/4,15,2,major,E0,major,B0,4,2.0
4/4,15,2,major,E0,major,A0,4,1.0
4/4,15,2,major,E0,major,B0,4,2.0
4/4,15,2,major,E0,major,C#,5,1.0
4/4,15,2,major,E0,major,C#,5,2.0
4/4,16,2,major,A0,major,C#,5,6.0
4/4,16,2,major,A0,major,B0,4,2.0
4/4,16,2,major,A0,major,A0,4,8.0
4/4,17,2,major,F#,minor,rest,0,4.0
4/4,17,2,major,F#,minor,B0,4,2.0
4/4,17,2,major,F#,minor,C#,5,2.0
4/4,17,2,major,F#,minor,A0,4,4.0
4/4,17,2,major,F#,minor,C#,5,4.0
4/4,18,2,major,B0,minor-seventh,C#,5,2.0
4/4,18,2,major,B0,minor-seventh,B0,4,4.0
4/4,18,2,major,B0,minor-seventh,C#,5,2.0
4/4,18,2,major,B0,minor-seventh,B0,4,4.0
4/4,18,2,major,B0,minor-seventh,rest,0,2.0
4/4,18,2,major,B0,minor-seventh,C#,5,2.0
4/4,19,2,major,G0,major,D0,5,4.0
4/4,19,2,major,G0,major,D0,5,2.0
4/4,19,2,major,G0,major,D0,5,2.0
4/4,19,2,major,G0,major,B0,4,4.0
4/4,19,2,major,G0,major,B0,4,2.0
4/4,19,2,major,G0,major,D0,5,2.0
4/4,20,6,major,G0,major,C#,5,16.0
4/4,21,6,major,C#,dominant,rest,0,2.0
4/4,21,6,major,C#,dominant,E#,4,2.0
4/4,21,6,major,C#,dominant,C#,5,2.0
4/4,21,6,major,C#,dominant,E#,4,2.0
4/4,21,6,major,C#,dominant,C#,5,2.0
4/4,21,6,major,C#,dominant,E#,4,2.0
4/4,21,6,major,C#,dominant,C#,5,2.0
4/4,21,6,major,C#,dominant,E#,4,2.0
4/4,21,6,major,C#,dominant,C#,5,2.0
4/4,21,6,major,C#,dominant,E#,4,2.0
4/4,21,6,major,C#,dominant,C#,5,2.0
4/4,21,6,major,C#,dominant,F#,4,2.0
4/4,21,6,major,C#,dominant,G#,4,2.0
4/4,22,6,major,F#,major,G#,4,2.0
4/4,22,6,major,F#,major,A#,4,2.0
4/4,22,6,major,F#,major,A#,4,4.0
4/4,22,6,major,F#,major,A#,4,4.0
4/4,22,6,major,F#,major,A#,4,2.0
4/4,22,6,major,F#,major,A#,4,2.0
4/4,23,6,major,B0,major,A#,4,2.0
4/4,23,6,major,B0,major,G#,4,2.0
4/4,23,6,major,B0,major,G#,4,8.0
4/4,23,6,major,B0,major,F#,4,2.0
4/4,23,6,major,B0,major,G#,4,2.0
4/4,24,6,major,F#,major,G#,4,2.0
4/4,24,6,major,F#,major,A#,4,2.0
4/4,24,6,major,F#,major,A#,4,4.0
4/4,24,6,major,F#,major,A#,4,4.0
4/4,24,6,major,F#,major,A#,4,2.0
4/4,24,6,major,F#,major,A#,4,2.0
4/4,25,6,major,B0,major,A#,4,2.0
4/4,25,6,major,B0,major,G#,4,2.0
4/4,25,6,major,B0,major,G#,4,4.0
4/4,25,6,major,B0,major,rest,0,2.0
4/4,25,6,major,B0,major,F#,4,2.0
4/4,25,6,major,B0,major,F#,4,2.0
4/4,25,6,major,B0,major,G#,4,2.0
4/4,26,6,major,F#,major,A#,4,2.0
4/4,26,6,major,F#,major,A#,4,2.0
4/4,26,6,major,F#,major,A#,4,2.0
4/4,26,6,major,F#,major,A#,4,2.0
4/4,26,6,major,F#,major,A#,4,2.0
4/4,26,6,major,F#,major,A#,4,1.0
4/4,26,6,major,F#,major,A#,4,1.0
4/4,26,6,major,F#,major,G#,4,2.0
4/4,26,6,major,F#,major,A#,4,2.0
4/4,27,6,major,B0,major,rest,0,2.0
4/4,27,6,major,B0,major,B0,4,2.0
4/4,27,6,major,B0,major,B0,4,2.0
4/4,27,6,major,B0,major,B0,4,2.0
4/4,27,6,major,B0,major,B0,4,2.0
4/4,27,6,major,B0,major,F#,4,2.0
4/4,27,6,major,B0,major,F#,4,2.0
4/4,27,6,major,B0,major,G#,4,2.0
4/4,28,6,major,F#,major,A#,4,2.0
4/4,28,6,major,F#,major,A#,4,2.0
4/4,28,6,major,F#,major,A#,4,2.0
4/4,28,6,major,F#,major,A#,4,2.0
4/4,28,6,major,F#,major,A#,4,2.0
4/4,28,6,major,F#,major,A#,4,1.0
4/4,28,6,major,F#,major,A#,4,1.0
4/4,28,6,major,F#,major,G#,4,2.0
4/4,28,6,major,F#,major,A#,4,2.0
4/4,29,6,major,B0,major,rest,0,2.0
4/4,29,6,major,B0,major,B0,4,2.0
4/4,29,6,major,B0,major,B0,4,2.0
4/4,29,6,major,B0,major,B0,4,2.0
4/4,29,6,major,B0,major,B0,4,4.0
4/4,29,6,major,B0,major,A#,4,2.0
4/4,29,6,major,B0,major,B0,4,2.0
4/4,30,6,major,F#,major,C#,5,8.0
4/4,30,6,major,F#,major,C#,5,4.0
4/4,30,6,major,F#,major,C#,5,3.0
4/4,30,6,major,F#,major,C#,5,1.0
4/4,31,6,major,B0,major,C#,5,8.0
4/4,31,6,major,B0,major,C#,5,2.0
4/4,31,6,major,B0,major,C#,5,4.0
4/4,31,6,major,B0,major,C#,5,2.0
4/4,32,6,major,A0,major,B0,4,2.0
4/4,32,6,major,A0,major,C#,5,2.0
4/4,32,6,major,A0,major,C#,5,4.0
4/4,32,6,major,A0,major,C#,5,4.0
4/4,32,6,major,A0,major,rest,0,4.0
4/4,33,6,major,A0,dominant,rest,0,4.0
4/4,33,6,major,A0,dominant,rest,0,4.0
4/4,33,6,major,A0,dominant,rest,0,4.0
4/4,33,6,major,A0,dominant,rest,0,4.0
4/4,34,6,major,F#,major,A#,4,8.0
4/4,34,6,major,F#,major,F#,4,8.0
4/4,35,6,major,B0,major,F#,4,2.0
4/4,35,6,major,B0,major,G#,4,2.0
4/4,35,6,major,B0,major,G#,4,8.0
4/4,35,6,major,B0,major,rest,0,2.0
4/4,35,6,major,B0,major,F#,4,2.0
4/4,36,6,major,F#,major,G#,4,6.0
4/4,36,6,major,F#,major,F#,4,2.0
4/4,36,6,major,F#,major,F#,4,8.0
4/4,37,6,major,B0,major,F#,4,8.0
4/4,37,6,major,B0,major,rest,0,4.0
4/4,37,6,major,B0,major,A#,4,2.0
4/4,37,6,major,B0,major,C#,5,2.0
4/4,38,6,major,F#,major,G#,4,2.0
4/4,38,6,major,F#,major,A#,4,2.0
4/4,38,6,major,F#,major,A#,4,4.0
4/4,38,6,major,F#,major,A#,4,4.0
4/4,38,6,major,F#,major,A#,4,2.0
4/4,38,6,major,F#,major,A#,4,2.0
4/4,39,6,major,B0,major,A#,4,2.0
4/4,39,6,major,B0,major,G#,4,2.0
4/4,39,6,major,B0,major,G#,4,8.0
4/4,39,6,major,B0,major,F#,4,2.0
4/4,39,6,major,B0,major,G#,4,2.0
