time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,73,-6,major,F0,minor-seventh,C0,5,4.0
3/4,74,-6,major,Bb,minor,Db,5,8.0
3/4,74,-6,major,Bb,minor,F0,5,2.0
3/4,74,-6,major,Bb,minor,Gb,5,2.0
3/4,75,-6,major,Db,major,Ab,5,12.0
3/4,76,-6,major,Db,major,Ab,5,12.0
3/4,77,-6,major,Db,major,Ab,5,12.0
3/4,78,-6,major,Db,major,rest,0,4.0
3/4,78,-6,major,Db,major,F0,5,4.0
3/4,78,-6,major,Db,major,Gb,5,4.0
3/4,79,-6,major,Eb,minor,Ab,5,12.0
3/4,80,-6,major,Eb,minor,Ab,5,12.0
3/4,81,-6,major,Eb,minor,Ab,5,12.0
3/4,82,-6,major,Eb,minor,rest,0,4.0
3/4,82,-6,major,Eb,minor,F0,5,4.0
3/4,82,-6,major,Eb,minor,Gb,5,4.0
3/4,83,-6,major,Db,major,Ab,5,8.0
3/4,83,-6,major,Db,major,Ab,5,2.0
3/4,83,-6,major,Db,major,Gb,5,2.0
3/4,84,-6,major,F0,minor,Ab,5,12.0
3/4,85,-6,major,Cb,major,Cb,5,2.0
3/4,85,-6,major,Cb,major,Eb,5,2.0
3/4,85,-6,major,Cb,major,Cb,5,1.0
3/4,85,-6,major,Cb,major,Eb,5,1.0
3/4,85,-6,major,Cb,major,Cb,5,1.0
3/4,85,-6,major,Cb,major,Eb,5,1.0
3/4,85,-6,major,Cb,major,Cb,5,2.0
3/4,85,-6,major,Cb,major,Eb,5,2.0
3/4,85,-6,major,Cb,major,Cb,5,1.0
3/4,85,-6,major,Cb,major,Eb,5,1.0
3/4,85,-6,major,Cb,major,Cb,5,1.0
3/4,85,-6,major,Cb,major,Eb,5,1.0
3/4,85,-6,major,Cb,major,Cb,5,3.0
3/4,85,-6,major,Cb,major,Eb,5,3.0
3/4,85,-6,major,Cb,major,Cb,5,1.0
3/4,85,-6,major,Cb,major,Eb,5,1.0
3/4,86,-6,major,Gb,major,Bb,4,4.0
3/4,86,-6,major,Gb,major,Db,5,4.0
3/4,86,-6,major,Gb,major,rest,0,4.0
3/4,86,-6,major,Gb,major,F0,5,2.0
3/4,86,-6,major,Gb,major,Gb,5,2.0
3/4,87,-6,major,Db,major,Ab,5,8.0
3/4,87,-6,major,Db,major,Ab,5,2.0
3/4,87,-6,major,Db,major,Gb,5,2.0
3/4,88,-6,major,F0,minor,Ab,5,12.0
3/4,89,-6,major,Cb,major,Cb,5,2.0
3/4,89,-6,major,Cb,major,Eb,5,2.0
3/4,89,-6,major,Cb,major,Cb,5,1.0
3/4,89,-6,major,Cb,major,Eb,5,1.0
3/4,89,-6,major,Cb,major,Cb,5,1.0
3/4,89,-6,major,Cb,major,Eb,5,1.0
3/4,89,-6,major,Cb,major,Cb,5,2.0
3/4,89,-6,major,Cb,major,Eb,5,2.0
3/4,89,-6,major,Cb,major,Cb,5,1.0
3/4,89,-6,major,Cb,major,Eb,5,1.0
3/4,89,-6,major,Cb,major,Cb,5,1.0
3/4,89,-6,major,Cb,major,Eb,5,1.0
3/4,89,-6,major,Cb,major,Cb,5,3.0
3/4,89,-6,major,Cb,major,Eb,5,3.0
3/4,89,-6,major,Cb,major,Cb,5,1.0
3/4,89,-6,major,Cb,major,Eb,5,1.0
3/4,90,-6,major,Gb,major,Bb,4,4.0
3/4,90,-6,major,Gb,major,Db,5,4.0
3/4,90,-6,major,Gb,major,rest,0,4.0
3/4,90,-6,major,Gb,major,rest,0,4.0
3/4,91,-6,major,Db,major,Ab,5,12.0
3/4,92,-6,major,Db,major,Ab,5,12.0
3/4,93,-6,major,Db,major,Ab,5,12.0
3/4,94,-6,major,Db,major,rest,0,4.0
3/4,94,-6,major,Db,major,F0,5,4.0
3/4,94,-6,major,Db,major,Gb,5,4.0
3/4,95,-6,major,Eb,minor,Ab,5,12.0
3/4,96,-6,major,Eb,minor,Ab,5,12.0
3/4,97,-6,major,Eb,minor,Ab,5,12.0
3/4,98,-6,major,Eb,minor,rest,0,4.0
3/4,98,-6,major,Eb,minor,F0,5,4.0
3/4,98,-6,major,Eb,minor,Gb,5,4.0
