time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,23,-6,major,Ab,dominant,Bb,4,4.0
4/4,23,-6,major,Ab,dominant,Bb,4,2.0
4/4,23,-6,major,Ab,dominant,Bb,4,2.0
4/4,23,-6,major,Ab,dominant,Bb,4,4.0
4/4,23,-6,major,Ab,dominant,Gb,4,4.0
4/4,24,-6,major,Db,dominant,Ab,4,12.0
4/4,24,-6,major,Db,dominant,Bb,4,2.0
4/4,24,-6,major,Db,dominant,Cb,5,2.0
4/4,25,-6,major,Gb,major,Db,5,4.0
4/4,25,-6,major,Gb,major,Bb,4,8.0
4/4,25,-6,major,Gb,major,Gb,4,4.0
4/4,26,-6,major,Gb,dominant,E0,5,8.0
4/4,26,-6,major,Gb,dominant,E0,5,2.0
4/4,26,-6,major,Gb,dominant,E0,5,2.0
4/4,26,-6,major,Gb,dominant,Eb,5,2.0
4/4,26,-6,major,Gb,dominant,Db,5,2.0
4/4,27,-6,major,Cb,major,Db,5,4.0
4/4,27,-6,major,Cb,major,Cb,5,12.0
4/4,28,-6,major,Cb,minor,rest,0,8.0
4/4,28,-6,major,Cb,minor,rest,0,4.0
4/4,28,-6,major,Cb,minor,Db,5,2.0
4/4,28,-6,major,Cb,minor,Cb,5,2.0
4/4,29,-6,major,Gb,major,Bb,4,8.0
4/4,29,-6,major,Gb,major,Bb,4,2.0
4/4,29,-6,major,Gb,major,Db,4,2.0
4/4,29,-6,major,Gb,major,Gb,4,2.0
4/4,29,-6,major,Gb,major,Bb,4,2.0
4/4,30,-6,major,Ab,dominant,Ab,4,8.0
4/4,30,-6,major,Ab,dominant,Ab,4,2.0
4/4,30,-6,major,Ab,dominant,Db,4,2.0
4/4,30,-6,major,Ab,dominant,F0,4,2.0
4/4,30,-6,major,Ab,dominant,Ab,4,2.0
4/4,31,-6,major,Gb,major,Gb,4,16.0
4/4,32,-6,major,Ab,minor,rest,0,8.0
4/4,32,-6,major,Ab,minor,rest,0,4.0
4/4,32,-6,major,Ab,minor,Bb,4,2.0
4/4,32,-6,major,Ab,minor,Cb,5,2.0
4/4,33,-6,major,Gb,major,Gb,4,16.0
